antecedent,consequent,support,confidence,lift
1819 1820,796 3312,96,0.6621,397.0702
796 3312,1819 1820,96,0.6531,397.0702
1819 3312,796 1820,96,0.6857,361.9997
796 1820,1819 3312,96,0.5749,361.9997
697,700,91,0.5833,338.3410
700,697,91,0.5987,338.3410
796 1819 3312,1820,96,0.9057,318.1069
796 1819,1820 3312,96,0.6400,313.4649
1820 3312,796 1819,96,0.5333,313.4649
3403,3536,125,0.7062,305.2024
3536,3403,125,0.6127,305.2024
796 1819 1820,3312,96,0.8276,302.7455
796 1820 3312,1819,96,0.7742,302.0108
796 3312,1820,124,0.8435,296.2866
1819 1820 3312,796,96,0.8421,295.7836
40 3538,3536,92,0.6765,292.3480
40 3536,3538,92,0.6571,288.2340
1819 1820,3312,114,0.7862,287.6082
1819 3312,1820,114,0.8143,286.0122
796 3312,1819,106,0.7211,281.2947
1819 1820,796,116,0.8000,280.9944
3538,3536,130,0.6468,279.5108
3536,3538,130,0.6373,279.5108
796 1819,1820,116,0.7733,271.6279
3312,796 1820,124,0.5145,271.6249
796 1820,3312,124,0.7425,271.6249
1819,796 1820,116,0.5133,270.9658
796 1820,1819,116,0.6946,270.9658
40 3312,1820,115,0.7616,267.5030
1819 3312,796,106,0.7571,265.9411
3538,3403,107,0.5323,265.1526
3403,3538,107,0.6045,265.1526
3312,1820,180,0.7469,262.3392
1820,3312,180,0.7171,262.3392
796 1819,3312,106,0.7067,258.5110
40 1820,3312,115,0.7055,258.0920
310 1380,1379,117,0.7048,254.6651
1081 1379,1380,95,0.8120,252.9489
49 3312,1820,107,0.7181,252.2349
1270 1380,1379,89,0.6953,251.2301
49 1820,3312,107,0.6859,250.9132
1819,1820 3312,114,0.5044,247.0617
1820 3312,1819,114,0.6333,247.0617
310 1081,1381,92,0.5786,244.0764
1081 1380,1379,95,0.6738,243.4423
49 1820,796,108,0.6923,243.1683
40 796,1820,108,0.6923,243.1683
1820 3312,796,124,0.6889,241.9674
49 16432,40 16431,106,0.6057,241.6334
310 1379,1380,117,0.7748,241.3815
49 796,1820,108,0.6835,240.0902
40 3312,1819,92,0.6093,237.6752
40 796,1819,95,0.6090,237.5593
1380 1381,310,92,0.8214,234.3650
310 1380,1381,92,0.5542,233.7841
1820,796,167,0.6653,233.6956
796,1820,167,0.6653,233.6956
796,1819,150,0.5976,233.1259
1819,796,150,0.6637,233.1259
40 1820,796,108,0.6626,232.7254
49 796,1819,94,0.5949,232.0832
1270 1379,1380,89,0.7417,231.0488
40 1820,1819,96,0.5890,229.7506
40 1819,1820,96,0.6531,229.3832
40 1819,3312,92,0.6259,228.9470
310 1270,1379,94,0.6309,227.9466
40 1819,796,95,0.6463,226.9938
3312,1819,140,0.5809,226.6126
1819,3312,140,0.6195,226.6126
1081 1381,310,92,0.7931,226.2835
49 1819,796,94,0.6438,226.1428
40 16432,49 16431,106,0.5608,225.7779
1819,1820,145,0.6416,225.3550
1820,1819,145,0.5777,225.3550
1270 1379,310,94,0.7833,223.4959
1081 1379,310,90,0.7692,219.4722
1270 1380,310,97,0.7578,216.2145
42 16431,16432,104,0.8595,215.8849
40 49 16431,16432,106,0.8548,214.7131
3312,796,147,0.6100,214.2437
796,3312,147,0.5857,214.2437
310 1381,1380,92,0.6866,213.8839
40 796,3312,91,0.5833,213.3935
49 1380,1379,92,0.5897,213.0860
40 3312,796,91,0.6026,211.6763
16432,40 16431,186,0.5299,211.3951
40 16431,16432,186,0.8416,211.3951
1379 1380,310,117,0.7405,211.2768
1081 1380,310,103,0.7305,208.4208
1270 1380,1081,89,0.6953,207.7971
40 1379,1380,106,0.6667,207.6843
49 16432,16431,174,0.9943,205.7705
16432,16431,348,0.9915,205.1842
16431,16432,348,0.8169,205.1842
310 1381,1081,92,0.6866,205.1835
40 49 16432,16431,106,0.9907,205.0189
42 16432,16431,104,0.9905,204.9821
310 1081,1379,90,0.5660,204.5206
40 16432,16431,186,0.9841,203.6681
310 1270,1380,97,0.6510,202.8058
40 309,1270,109,0.6412,202.6072
1081 1270,1380,89,0.6496,202.3785
310 1081,1380,103,0.6478,201.8065
1379,1380,158,0.6475,201.7262
1380,1379,158,0.5583,201.7262
49 16431,16432,174,0.7945,199.5627
1081 1380,1270,89,0.6312,199.4565
310 1379,1270,94,0.6225,196.7108
40 1380,1379,106,0.5408,195.4076
49 1379,1380,92,0.6259,194.9690
1081 1270,310,93,0.6788,193.6802
1381,1379,109,0.5215,188.4394
40 1270,309,109,0.5619,188.3434
40 1379,310,104,0.6541,186.6204
310 1270,1081,93,0.6242,186.5332
40 1381,310,91,0.6500,185.4540
310 1380,1081,103,0.6205,185.4337
310 1081,1270,93,0.5849,184.8260
310 1380,1270,97,0.5843,184.6464
49 310,1380,95,0.5901,183.8200
1381,310,134,0.6411,182.9285
309,1270,150,0.5703,180.2240
1270,309,150,0.5376,180.2240
1379 1380,1081,95,0.6013,179.6908
310 1379,1081,90,0.5960,178.1250
1379 1380,1270,89,0.5633,177.9960
1379,310,151,0.6189,176.5672
40 310,1380,118,0.5592,174.2186
49 1380,310,95,0.6090,173.7489
40 1380,310,118,0.6020,171.7706
49 165,166,118,0.5268,169.4981
1380,310,166,0.5866,167.3573
310,1380,166,0.5372,167.3573
1381,1380,112,0.5359,166.9424
1381,1081,116,0.5550,165.8713
1381,1270,107,0.5120,161.7762
49 166,165,118,0.6051,161.6646
166,165,160,0.5839,156.0044
40 1081,310,100,0.5464,155.9092
648,770,150,0.5814,155.7963
40 1270,310,105,0.5412,154.4225
1081,310,159,0.5390,153.7794
310,1081,159,0.5146,153.7794
1270,310,149,0.5341,152.3719
1035,770,172,0.5548,148.6799
770,1035,172,0.5228,148.6799
1610,14934,145,0.5823,107.1802
42 16012,40 49 16011,133,0.5451,90.8422
42 49 16012,40 16011,133,0.8061,85.7225
42 16012,40 16011,190,0.7787,82.8115
40 42 16012,49 16011,133,0.6856,82.7958
33 16012,49 16011,100,0.6849,82.7191
42 16012,49 16011,159,0.6516,78.6984
49 16012,40 16011,269,0.7193,76.4905
40 16012,49 16011,269,0.6300,76.0822
33 49 16011,16012,100,0.5263,69.3588
8979 16011,16012,101,0.5179,68.2562
40 42 16011,16012,190,0.5163,68.0395
40 42 49 16011,16012,133,0.5096,67.1532
40 49 16011,16012,269,0.5085,67.0119
16012,40 16011,419,0.6263,66.6062
40 16011,16012,419,0.5054,66.6062
42 16011,16012,236,0.5054,66.5964
33 16011,16012,142,0.5053,66.5943
42 49 16011,16012,159,0.5048,66.5184
39 16012,16011,111,0.9911,66.3943
39 16011,16012,111,0.5023,66.1890
40 16012,16011,419,0.9813,65.7373
40 42 16012,16011,190,0.9794,65.6111
40 49 16012,16011,269,0.9782,65.5307
40 42 49 16012,16011,133,0.9779,65.5146
16012,49 16011,362,0.5411,65.3493
16012,16011,651,0.9731,65.1899
33 16012,16011,142,0.9726,65.1570
8979 16012,16011,101,0.9712,65.0599
49 16012,16011,362,0.9679,64.8429
42 16012,16011,236,0.9672,64.7959
42 49 16012,16011,159,0.9636,64.5563
33 49 16012,16011,100,0.9615,64.4158
49 5730,2239,104,0.5417,27.8451
5730,2239,145,0.5017,25.7921
33 48,39 40 49,97,0.6510,9.4058
90 171,39 40 49,111,0.6491,9.3786
40 90 171,39 49,111,0.8409,9.3324
37 90,39 40 49,98,0.6405,9.2543
33 40 48,39 49,97,0.8220,9.1229
90 171,39 49,140,0.8187,9.0860
38 42,39 40 49,151,0.6113,8.8326
171 238,39 40 49,90,0.5844,8.4437
37 40 90,39 49,98,0.7597,8.4310
38 40 42,39 49,151,0.7438,8.2551
40 171 238,39 49,90,0.7438,8.2547
37 90,39 49,113,0.7386,8.1965
33 38 40,39 49,101,0.7372,8.1817
33 48,39 49,107,0.7181,7.9697
40 42 791,39 49,110,0.7143,7.9271
33 38,39 40 49,101,0.5430,7.8454
33 40 111,39 49,201,0.7028,7.7996
42 791,39 40 49,110,0.5392,7.7906
38 42,39 49,172,0.6964,7.7281
33 48 49,39 40,97,0.9065,7.7257
33 40 287,39 49,100,0.6944,7.7069
42 56,39 40 49,93,0.5314,7.6781
42 106,39 49,103,0.6867,7.6206
42 49 56,39 40,93,0.8857,7.5482
38 42 49,39 40,151,0.8779,7.4817
40 42 111,39 49,346,0.6718,7.4561
49 171 238,39 40,90,0.8738,7.4466
42 3905,39 40,108,0.8710,7.4225
42 171,39 40 49,413,0.5130,7.4125
42 791,39 49,136,0.6667,7.3986
42 111,39 40 49,346,0.5111,7.3841
49 3905,39 40,173,0.8650,7.3717
40 48,39 49,212,0.6625,7.3524
171 238,39 49,102,0.6623,7.3506
40 42 171,39 49,413,0.6619,7.3453
37 42 49,39 40,334,0.8608,7.3361
3905,39 40 49,173,0.5073,7.3299
33 38,39 49,122,0.6559,7.2793
33 42 171,39 49,103,0.6519,7.2347
37 49 90,39 40,98,0.8448,7.1998
40 791,39 49,235,0.6456,7.1649
42 49 171,39 40,413,0.8394,7.1538
37 90,39 40,128,0.8366,7.1297
33 40 171,39 49,213,0.6416,7.1201
40 42 56,39 49,93,0.6414,7.1180
40 1047,33 49,110,0.6471,7.1006
40 282,39 49,184,0.6389,7.0903
40 106,39 49,290,0.6374,7.0734
33 38 49,39 40,101,0.8279,7.0553
37 66,39 49,96,0.6316,7.0092
40 42 287,39 49,131,0.6298,6.9896
40 3905,39 49,173,0.6291,6.9816
42 49 287,39 40,131,0.8187,6.9775
42 49 111,39 40,346,0.8180,6.9709
38 42,39 40,202,0.8178,6.9696
49 2806,39 40,89,0.8091,6.8952
42 111,39 49,419,0.6189,6.8686
42 56,39 40,141,0.8057,6.8664
38 40,39 49,433,0.6124,6.7969
42 49 791,39 40,110,0.7971,6.7930
49 372,39 40,294,0.7967,6.7900
40 287,39 49,458,0.6107,6.7771
42 106,39 40,119,0.7933,6.7609
49 90 171,39 40,111,0.7929,6.7569
42 372,39 40,136,0.7907,6.7385
37 42,39 40,553,0.7900,6.7325
48,39 49,269,0.6059,6.7237
40 2806,39 49,89,0.6054,6.7192
3905,39 40,268,0.7859,6.6978
33 48,39 40,117,0.7852,6.6919
40 57,39 49,219,0.6016,6.6771
42 171,39 49,484,0.6012,6.6725
37 66,39 40,119,0.7829,6.6720
42 57,39 40,93,0.7815,6.6602
33 49 287,39 40,100,0.7812,6.6580
49 106,39 40,290,0.7796,6.6436
40 391,39 49,154,0.5969,6.6243
49 287,39 40,458,0.7750,6.6043
48 49,39 40,212,0.7737,6.5938
171 238,39 40,119,0.7727,6.5853
33 37 40,39 49,191,0.5895,6.5423
171 226,39 40,99,0.7674,6.5403
37 238,39 40,122,0.7673,6.5390
33 37 42,39 40,102,0.7669,6.5358
42 56,39 49,103,0.5886,6.5319
38 49,39 40,433,0.7664,6.5312
49 171,39 40,1193,0.7662,6.5298
90 171,39 40,131,0.7661,6.5287
33 111,39 49,264,0.5880,6.5253
42 372,39 49,101,0.5872,6.5168
791,39 49,307,0.5870,6.5145
42 171,39 40,615,0.7640,6.5107
37 226,39 40,110,0.7639,6.5100
40 111,39 49,1031,0.5861,6.5048
42 287,39 49,157,0.5858,6.5014
37 49,39 40,1080,0.7627,6.5000
37 238,39 49,93,0.5849,6.4912
37 40 42,39 49,334,0.5839,6.4803
33 42 111,39 40,94,0.7581,6.4604
42 287,39 40,203,0.7575,6.4552
42 111,39 40,511,0.7548,6.4325
40 171,39 49,1193,0.5794,6.4302
33 42 171,39 40,119,0.7532,6.4186
33 49 111,39 40,201,0.7528,6.4156
40 841,39 49,145,0.5777,6.4112
42 791,39 40,153,0.7500,6.3916
49 56,39 40,243,0.7477,6.3720
49 111,39 40,1031,0.7471,6.3669
49 791,39 40,235,0.7460,6.3578
40 371,39 49,142,0.5726,6.3545
282,39 49,259,0.5717,6.3452
111 171,39 40,119,0.7438,6.3384
49 1189,39 40,99,0.7388,6.2962
3905,39 49,193,0.5660,6.2812
33 38,39 40,137,0.7366,6.2771
33 171,39 49,305,0.5648,6.2683
49 391,39 40,154,0.7333,6.2496
40 1189,39 49,99,0.5625,6.2426
33 37 49,39 40,191,0.7290,6.2127
106,39 49,367,0.5586,6.1993
37 111,39 40,135,0.7258,6.1855
49 371,39 40,142,0.7245,6.1742
33 287,39 49,127,0.5546,6.1548
40 372,39 49,294,0.5526,6.1331
57,39 49,295,0.5514,6.1194
49 57,39 40,219,0.7087,6.0400
49 1047,33 40,110,0.5789,6.0368
48,39 40,313,0.7050,6.0078
49 841,39 40,145,0.7039,5.9986
37 42,39 49,377,0.5386,5.9770
40 56,39 49,243,0.5376,5.9664
49 1530,39 40,97,0.6978,5.9471
3006,39 40,142,0.6927,5.9032
33 49 171,39 40,213,0.6916,5.8936
37 40,39 49,1080,0.5302,5.8840
